lemma	presov_to_sov	sov_to_postsov	presov_to_postsov
авторитет	3.2333333333333334	2.955555555555556	2.844444444444445
амбиция	3.111111111111111	3.4444444444444446	3.333333333333333
апостол	3.494117647058824	3.426966292134832	3.4235294117647057
благодарность	3.2333333333333334	3.566666666666667	3.655555555555555
блин	3.213483146067416	1.6629213483146068	2.577777777777778
блондин	3.9444444444444446	3.922222222222222	3.955555555555556
брат	3.224719101123596	3.01123595505618	3.2777777777777777
бригада	2.8	2.7191011235955056	3.0898876404494384
веер	2.550561797752809	2.433333333333333	2.4444444444444446
век	3.2	3.213483146067416	2.988372093023256
верховье	3.689655172413793	3.743243243243243	3.870967741935484
возраст	3.477777777777778	3.6942148760330578	3.588888888888889
вызов	2.1777777777777776	2.1	2.033333333333333
головка	2.2045454545454546	1.6777777777777778	2.191011235955056
грех	3.488888888888889	2.988888888888889	2.922222222222222
дух	2.3222222222222224	1.6333333333333333	1.8888888888888888
дядька	2.5930232558139537	3.033707865168539	2.6853932584269664
дядя	3.3777777777777778	3.395348837209302	3.2988505747126435
железо	2.2	2.569767441860465	2.4022988505747125
жесть	3.235955056179775	3.388888888888889	3.411111111111111
живот	2.911111111111111	3.4444444444444446	2.763440860215054
заблуждение	3.5	3.6222222222222222	3.555555555555556
завод	3.226086956521739	3.651685393258427	3.522222222222222
закладка	1.9333333333333331	1.7419354838709675	1.748031496062992
земля	2.8392857142857144	2.8	2.2888888888888888
издательство	3.533333333333333	3.8666666666666663	3.455555555555556
итальянец	3.707865168539326	3.6	3.6777777777777776
кабан	3.6	3.3222222222222224	3.303370786516854
карман	3.466666666666667	3.4731182795698925	3.566666666666667
крушение	2.752808988764045	2.7865168539325844	2.6
крыша	3.574712643678161	3.0	2.8222222222222224
кулиса	3.1666666666666665	3.1777777777777776	3.2444444444444445
лечение	3.655555555555555	3.744444444444445	3.688888888888889
линейка	1.879120879120879	1.3707865168539326	1.2247191011235956
лишение	2.9444444444444446	2.077777777777778	2.333333333333333
локоть	3.2777777777777777	3.4130434782608696	3.730337078651685
лох	1.07	2.9444444444444446	1.0444444444444445
любовник	3.455555555555556	3.7111111111111112	3.655555555555555
любовь	3.292134831460674	2.9775280898876404	3.077777777777778
маньяк	3.088888888888889	3.011111111111111	3.1123595505617976
монстр	2.6	2.388888888888889	2.0444444444444443
наволочка	3.617977528089888	3.8333333333333335	3.9213483146067416
название	3.489130434782609	3.488888888888889	3.433333333333333
наложение	1.9555555555555555	2.067415730337079	1.788888888888889
облако	3.1797752808988764	3.0	3.168539325842697
обоснование	3.741573033707865	3.5	3.588888888888889
огонь	2.101123595505618	2.1333333333333333	2.466666666666667
памятник	2.888888888888889	2.831460674157303	2.8222222222222224
пафос	3.344444444444445	3.2777777777777777	3.411111111111111
писк	3.2111111111111112	3.0	2.533333333333333
план	2.6777777777777776	2.2777777777777777	2.5444444444444443
поколение	3.433333333333333	3.588888888888889	2.8
половинка	2.5168539325842696	2.7555555555555555	2.6222222222222222
полоса	1.839080459770115	1.5	1.4111111111111112
полость	2.2333333333333334	1.8888888888888888	2.5681818181818183
полукруг	2.7888888888888888	3.1333333333333333	3.088888888888889
помощник	3.3828125	3.56198347107438	3.2888888888888888
понедельник	3.7777777777777777	3.8666666666666663	3.8666666666666663
поставщик	3.566666666666667	3.4444444444444446	3.2555555555555555
поэзия	3.2298850574712645	3.6666666666666665	3.566666666666667
правда	3.1333333333333333	2.9444444444444446	2.966666666666667
предательство	3.6741573033707855	3.488888888888889	3.8
прецедент	3.522222222222222	3.8	3.533333333333333
пролетарий	3.4	3.5892857142857144	3.4444444444444446
промышленность	3.2448979591836733	3.5168539325842696	3.4719101123595504
проникновение	2.7555555555555555	2.688888888888889	2.533333333333333
прорыв	2.088888888888889	2.056179775280899	2.055555555555556
путь	2.415730337078652	2.0444444444444443	2.3
радикал	1.427672955974843	1.6866666666666668	2.0172413793103448
размышление	3.522222222222222	3.555555555555556	3.6222222222222222
ранец	3.6	3.539325842696629	3.388888888888889
расчет	2.0	1.9555555555555555	2.0
риторика	3.067415730337079	2.954022988505747	2.933333333333333
роспись	1.4382022471910112	2.988888888888889	1.5777777777777775
сверстник	3.8666666666666663	3.8666666666666663	3.820224719101124
связка	2.333333333333333	1.9662921348314608	1.7752808988764044
собрат	3.455555555555556	3.3258426966292136	3.3222222222222224
совершенство	2.955056179775281	3.168539325842697	3.088888888888889
советчик	3.2222222222222223	3.488888888888889	3.422222222222222
союзник	3.6666666666666665	3.477777777777778	3.755555555555556
список	3.2808988764044944	3.311111111111111	3.056179775280899
спутник	2.961783439490446	1.8135593220338984	1.9411764705882355
ссылка	2.8777777777777778	2.0444444444444443	1.9333333333333331
стена	3.1	3.1666666666666665	3.3222222222222224
стипендия	3.8	3.7191011235955056	3.566666666666667
стол	3.50561797752809	3.1666666666666665	3.2555555555555555
тачка	3.397727272727273	1.9444444444444444	1.898876404494382
тупик	3.1797752808988764	2.831460674157303	3.1444444444444444
увольнение	3.2111111111111112	3.533333333333333	3.3222222222222224
углеводород	3.688888888888889	3.311111111111111	3.2
удобство	2.433333333333333	2.426966292134832	2.511111111111111
уклад	3.333333333333333	3.422222222222222	3.422222222222222
университет	3.5444444444444443	3.7	3.7222222222222223
установление	2.2808988764044944	2.2666666666666666	2.404494382022472
фаворит	3.1555555555555554	2.533333333333333	2.844444444444445
формат	2.842696629213483	2.022222222222222	1.8111111111111111
формула	2.811111111111111	2.269662921348315	2.577777777777778
хозяйка	3.2555555555555555	3.2222222222222223	3.422222222222222
хор	2.6666666666666665	2.8735632183908044	2.224719101123596
хрен	1.8	2.2666666666666666	1.6
цензура	3.49438202247191	3.466666666666667	3.455555555555556
центр	2.1444444444444444	1.8333333333333333	1.8777777777777775
цифра	2.966666666666667	2.8777777777777778	3.1954022988505746
частица	1.9666666666666663	2.333333333333333	2.2
чек	2.3777777777777778	1.9550561797752808	2.651685393258427
четверть	2.258426966292135	2.966666666666667	3.074324324324324
штаб	3.633333333333333	3.388888888888889	3.5
эшелон	2.922222222222222	2.2888888888888888	2.333333333333333
юбилей	3.688888888888889	3.7	3.7888888888888888
ядро	1.5543478260869563	1.9111111111111112	1.477777777777778
ясли	2.2808988764044944	3.0	1.9
