prefix	lemma	abs_freq	abs_freq0	abs_freq1	abs_freq2	freq	freq0	freq1	freq2
бе[зс]	бездействовать	541	155	255	131	2.194	2.147	2.741	1.609
бе[зс]	бездельничать	308	41	169	98	1.249	0.568	1.817	1.204
бе[зс]	безмолвствовать	726	361	191	174	2.944	5.0	2.053	2.138
бе[зс]	безобразить	149	99	43	7	0.604	1.371	0.462	0.086
бе[зс]	безобразничать	306	110	136	60	1.241	1.524	1.462	0.737
бе[зс]	безуметь	55	22	28	5	0.223	0.305	0.301	0.061
бе[зс]	безумствовать	230	99	95	36	0.933	1.371	1.021	0.442
бе[зс]	беспокоить	6211	2387	2041	1783	25.184	33.061	21.939	21.906
бе[зс]	беспокоиться	8269	2979	3368	1922	33.529	41.261	36.203	23.614
бе[зс]	бесчестить	199	150	44	5	0.807	2.078	0.473	0.061
бе[зс]	бесчинствовать	249	84	95	70	1.01	1.163	1.021	0.86
в[зс]	взалкать	45	19	19	7	0.182	0.263	0.204	0.086
в[зс]	взбадривать	343	33	155	155	1.391	0.457	1.666	1.904
в[зс]	взбадриваться	196	5	84	107	0.795	0.069	0.903	1.315
в[зс]	взбаламутить	301	59	167	75	1.22	0.817	1.795	0.921
в[зс]	взбалтывать	246	56	109	81	0.997	0.776	1.172	0.995
в[зс]	взбегать	1020	297	528	195	4.136	4.114	5.675	2.396
в[зс]	взбелениться	189	77	66	46	0.766	1.066	0.709	0.565
в[зс]	взбесить	988	427	335	226	4.006	5.914	3.601	2.777
в[зс]	взбеситься	870	281	348	241	3.528	3.892	3.741	2.961
в[зс]	взбивать	1154	200	524	430	4.679	2.77	5.632	5.283
в[зс]	взбиваться	45	16	18	11	0.182	0.222	0.193	0.135
в[зс]	взбираться	3799	1097	1979	723	15.404	15.194	21.272	8.883
в[зс]	взблескивать	107	6	72	29	0.434	0.083	0.774	0.356
в[зс]	взбрасывать	127	66	55	6	0.515	0.914	0.591	0.074
в[зс]	взбредать	511	121	192	198	2.072	1.676	2.064	2.433
в[зс]	взбрыкивать	204	5	103	96	0.827	0.069	1.107	1.179
в[зс]	взбудораживать	769	176	379	214	3.118	2.438	4.074	2.629
в[зс]	взбудораживаться	39	15	13	11	0.158	0.208	0.14	0.135
в[зс]	взбунтовать	107	77	25	5	0.434	1.066	0.269	0.061
в[зс]	взбунтоваться	908	334	343	231	3.682	4.626	3.687	2.838
в[зс]	взбухать	167	56	62	49	0.677	0.776	0.666	0.602
в[зс]	взваливать	1292	326	603	363	5.239	4.515	6.482	4.46
в[зс]	взваливаться	32	19	8	5	0.13	0.263	0.086	0.061
в[зс]	взвешивать	3179	711	1329	1139	12.89	9.848	14.285	13.994
в[зс]	взвешиваться	150	34	80	36	0.608	0.471	0.86	0.442
в[зс]	взвивать	109	33	61	15	0.442	0.457	0.656	0.184
в[зс]	взвиваться	2084	544	1048	492	8.45	7.535	11.265	6.045
в[зс]	взвидеть	105	70	28	7	0.426	0.97	0.301	0.086
в[зс]	взвизгивать	2217	654	988	575	8.989	9.058	10.62	7.065
в[зс]	взвинчивать	604	75	264	265	2.449	1.039	2.838	3.256
в[зс]	взвихрить	93	5	62	26	0.377	0.069	0.666	0.319
в[зс]	взводить	825	426	240	159	3.345	5.9	2.58	1.953
в[зс]	взводиться	31	17	6	8	0.126	0.235	0.064	0.098
в[зс]	взволновать	6583	2556	3142	885	26.692	35.402	33.773	10.873
в[зс]	взволноваться	749	319	323	107	3.037	4.418	3.472	1.315
в[зс]	взвывать	1174	196	484	494	4.76	2.715	5.203	6.069
в[зс]	взглядывать	31007	14234	11731	5042	125.726	197.147	126.097	61.947
в[зс]	взгромождать	145	28	56	61	0.588	0.388	0.602	0.749
в[зс]	взгромождаться	297	29	159	109	1.204	0.402	1.709	1.339
в[зс]	взгрустнуть	60	9	26	25	0.243	0.125	0.279	0.307
