w2vlem_pre_to_sov	w2vpos_pre_to_sov	ftlem_pre_to_sov	ftpref_pre_to_sov	gram_pre_to_sov	elmo_pre_to_sov	w2vlem_sov_to_post	w2vpos_sov_to_post	ftlem_sov_to_post	ftpref_sov_to_post	gram_sov_to_post	elmo_sov_to_post	w2vlem_pre_to_post	w2vpos_pre_to_post	ftlem_pre_to_post	ftpref_pre_to_post	gram_pre_to_post	elmo_pre_to_post
недо-	недо-	низ-	--	недо-	недо-	недо-	полу-	низ-	--	недо-	недо-	недо-	недо-	воз-	с-	недо-	недо-
обез-	обез-	воз-	про-	обез-	на-	полу-	обез-	воз-	с-	обез-	на-	обез-	обез-	пре-	--	обез-	на-
полу-	полу-	обез-	по-	над-	при-	обез-	недо-	обез-	от-	без-	при-	полу-	полу-	обез-	про-	над-	при-
над-	без-	по-	за-	пере-	над-	без-	без-	по-	по-	низ-	над-	без-	без-	низ-	--	на-	над-
без-	над-	вз-	недо-	на-	до-	над-	над-	о-	недо-	над-	до-	пере-	пере-	из-	за-	низ-	до-
пере-	пере-	из-	с-	про-	низ-	низ-	низ-	вз-	про-	воз-	низ-	над-	над-	пред-	до-	пере-	низ-
на-	на-	без-	до-	в-	про-	пере-	пере-	из-	при-	пере-	про-	на-	на-	по-	пред-	про-	про-
про-	про-	пре-	--	до-	вы-	на-	на-	полу-	--	на-	вы-	за-	за-	у-	по-	в-	вы-
за-	за-	у-	при-	от-	у-	из-	из-	за-	о-	до-	у-	из-	из-	о-	от-	без-	у-
раз-	раз-	о-	вы-	вы-	по-	за-	за-	у-	до-	о-	по-	про-	о-	полу-	--	воз-	по-
из-	из-	за-	от-	из-	под-	о-	о-	на-	пред-	пред-	под-	о-	про-	с-	у-	о-	под-
о-	о-	с-	пере-	низ-	пре-	воз-	воз-	с-	за-	из-	пре-	раз-	раз-	без-	над-	под-	пре-
низ-	от-	вы-	на-	под-	полу-	про-	про-	пред-	на-	полу-	полу-	под-	под-	за-	при-	до-	полу-
от-	низ-	полу-	--	без-	из-	раз-	раз-	пре-	--	под-	из-	от-	от-	на-	вз-	из-	из-
под-	под-	на-	над-	раз-	от-	вз-	под-	про-	пере-	в-	от-	вз-	вз-	вз-	на-	от-	от-
в-	в-	над-	под-	воз-	раз-	под-	вз-	в-	вз-	про-	раз-	низ-	в-	про-	под-	пред-	раз-
по-	по-	про-	в-	о-	за-	по-	по-	над-	под-	от-	за-	воз-	по-	вы-	о-	за-	за-
вы-	вз-	от-	у-	по-	о-	от-	от-	без-	в-	вы-	о-	в-	воз-	в-	пере-	вы-	о-
воз-	вы-	пред-	пред-	за-	вз-	до-	в-	от-	обез-	вз-	вз-	по-	низ-	недо-	недо-	раз-	вз-
вз-	воз-	при-	обез-	вз-	обез-	в-	до-	вы-	вы-	за-	обез-	вы-	вы-	от-	вы-	по-	обез-
до-	до-	в-	из-	с-	пере-	с-	вы-	до-	воз-	раз-	пере-	с-	с-	до-	в-	с-	пере-
с-	с-	раз-	--	пред-	с-	вы-	с-	недо-	из-	по-	с-	до-	до-	при-	обез-	вз-	с-
при-	при-	до-	о-	при-	воз-	при-	при-	при-	без-	при-	воз-	пред-	пред-	над-	без-	у-	воз-
пред-	пред-	пере-	вз-	у-	без-	у-	у-	под-	у-	у-	без-	при-	при-	пере-	из-	при-	без-
у-	у-	недо-	без-	пре-	в-	пред-	пред-	раз-	--	с-	в-	у-	у-	раз-	--	пре-	в-
пре-	пре-	под-	воз-	полу-	пред-	пре-	пре-	пере-	над-	пре-	пред-	пре-	пре-	под-	воз-	полу-	пред-
